Province/Regency/City,2016,2017,2018,2019,2020,2021,2022,2023
Kota Probolinggo,71.5,72.09,72.53,73.27,73.27,73.66,74.56,75.43
Kota Pasuruan,74.11,74.39,74.78,75.25,75.26,75.62,76.54,77.17
Kota Mojokerto,76.38,76.77,77.14,77.96,78.04,78.43,79.32,80.07
Kota Madiun,80.01,80.13,80.33,80.88,80.91,81.25,82.01,82.71
Kota Surabaya,80.38,81.07,81.74,82.22,82.23,82.31,82.74,83.45
Kota Batu,73.57,74.26,75.04,75.88,75.9,76.28,77.22,78.18
BANTEN,70.96,71.42,71.95,72.44,72.45,72.72,73.32,73.87
Pandeglang,63.4,63.82,64.34,64.91,65,65.17,65.84,66.42
Lebak,62.78,62.95,63.37,63.88,63.91,64.03,64.71,65.21
Tangerang,70.44,70.97,71.59,71.93,71.92,72.29,72.97,73.43
Serang,65.12,65.6,65.93,66.38,66.7,66.82,67.75,68.39
Kota Tangerang,76.81,77.01,77.92,78.43,78.25,78.5,78.9,79.46
Kota Cilegon,72.04,72.29,72.65,73.01,73.05,73.35,73.95,74.54
Kota Serang,71.09,71.31,71.68,72.1,72.16,72.44,72.98,73.48
Kota Tangerang Selatan,80.11,80.84,81.17,81.48,81.36,81.6,81.95,82.28
BALI,73.65,74.3,74.77,75.38,75.5,75.69,76.44,77.1
Jembrana,70.38,70.72,71.65,72.35,72.36,72.75,73.58,74.04
Tabanan,74.19,74.86,75.45,76.16,76.17,76.45,76.75,77.43
Badung,79.8,80.54,80.87,81.59,81.6,81.83,82.13,83.08
Gianyar,75.7,76.09,76.71,77.14,77.36,77.7,78.39,79.24
Klungkung,69.31,70.13,70.9,71.71,71.73,71.75,72.55,73.11
Bangli,67.03,68.24,68.96,69.35,69.36,69.37,70.26,70.79
Karangasem,65.23,65.57,66.49,67.34,67.35,67.36,68.28,68.91
Buleleng,70.65,71.11,71.7,72.3,72.55,72.56,73.45,73.97
Kota Denpasar,82.58,83.01,83.3,83.68,83.93,84.03,84.37,84.73
NUSA TENGGARA BARAT,65.81,66.58,67.3,68.14,68.25,68.65,69.46,70.2
Lombok Barat,65.55,66.37,67.18,68.03,68.2,68.61,69.41,70.15
Lombok Tengah,63.22,64.36,65.36,66.36,66.43,66.72,67.57,68.4
Lombok Timur,63.7,64.37,65.35,66.23,66.3,66.66,67.59,68.41
Sumbawa,64.89,65.84,66.77,67.6,67.61,68.01,68.89,69.87
Dompu,65.48,66.33,66.97,67.83,67.84,68.45,69.15,69.98
Bima,64.15,65.01,65.62,66.37,66.3,66.66,67.57,68.28
Sumbawa Barat,69.26,70.08,70.71,71.52,71.63,71.85,72.65,73.17
Lombok Utara,62.24,63.04,63.83,64.49,64.42,64.77,65.7,66.62
Kota Mataram,77.2,77.84,78.43,79.1,78.91,79.14,79.59,80.09
Kota Bima,73.67,74.36,75.04,75.8,75.81,76.11,76.84,77.36
NUSA TENGGARA TIMUR,63.13,63.73,64.39,65.23,65.19,65.28,65.9,66.68
Sumba Barat,61.85,62.3,62.91,63.56,63.53,63.83,64.43,65.22
Sumba Timur,63.22,64.19,64.65,65.34,65.52,65.74,66.17,67.05
Kupang,62.39,62.79,63.55,64.43,64.32,64.41,65.04,65.82
Timor Tengah Selatan,60.37,61.08,61.58,62.23,62.15,62.16,62.73,63.58
Timor Tengah Utara,61.54,62.03,62.65,63.34,63.53,63.69,64.26,65.16
Belu,61.04,61.44,61.86,62.54,62.68,62.77,63.22,63.83
Alor,58.99,59.61,60.14,61.03,61.33,61.37,62.26,62.99
Lembata,62.81,63.09,63.96,64.91,64.74,64.75,65.47,66.12
Flores Timur,61.9,62.89,63.55,64.34,64.22,64.22,64.93,65.79
Sikka,62.42,63.08,63.89,64.75,65.11,65.41,66.06,66.89
Ende,65.74,66.11,66.62,67.2,67.04,67.3,67.97,68.63
Ngada,65.61,66.47,67.1,67.76,67.88,67.88,68.26,69.14
Manggarai,61.67,62.24,63.32,64.15,64.54,65.01,65.83,66.42
Rote Ndao,59.28,60.51,61.51,62.22,62.39,62.6,63.21,64
Manggarai Barat,60.63,61.65,62.58,63.5,63.89,64.17,64.92,65.81
Sumba Tengah,58.52,59.39,60.07,61.01,61.53,61.8,62.71,63.48
Sumba Barat Daya,61.31,61.46,61.89,62.6,62.28,62.29,63.15,63.74
Nagekeo,63.93,64.74,65.35,65.88,65.81,65.82,66.22,67.07
Manggarai Timur,57.5,58.51,59.49,60.47,60.85,61.37,62.3,63.24
Sabu Raijua,54.16,55.22,55.79,56.66,57.02,57.03,57.9,58.89
Malaka,58.29,58.9,59.66,60.34,60.21,60.42,61.34,62.06
Kota Kupang,78.14,78.25,78.84,79.55,79.71,79.74,80.2,80.62
KALIMANTAN BARAT,65.88,66.26,66.98,67.65,67.66,67.9,68.63,69.41
Sambas,64.94,65.92,66.61,67.02,67.03,67.1,67.95,68.69
Bengkayang,65.45,65.99,66.85,67.57,67.87,68.04,68.74,69.53
Landak,64.58,64.93,65.45,65.96,65.98,66.21,67.17,68.14
Mempawah,63.84,64,64.9,65.5,65.74,66.03,66.94,67.92
Sanggau,63.9,64.61,65.15,65.67,65.77,66.2,66.91,67.77
Ketapang,64.74,65.71,66.41,67.16,67.17,67.43,67.92,68.68
Sintang,64.78,65.16,66.07,66.7,66.88,66.93,67.86,68.67
Kapuas Hulu,63.83,64.18,65.03,65.65,65.69,65.75,66.7,67.67
Sekadau,62.52,63.04,63.69,64.34,64.76,64.93,65.58,66.33
Melawi,64.25,64.43,65.05,65.54,65.55,65.87,66.81,67.76
Kayong Utara,60.87,61.52,61.82,62.66,62.68,62.9,63.81,64.79
Kubu Raya,65.54,66.31,67.23,67.76,67.95,68.16,68.91,69.6
Kota Pontianak,77.63,77.93,78.56,79.35,79.44,79.93,80.48,81.03
Kota Singkawang,70.1,70.25,71.08,71.72,71.94,72.11,72.89,73.39
KALIMANTAN TENGAH,69.13,69.79,70.42,70.91,71.05,71.25,71.63,72.2
Kotawaringin Barat,71.13,72.11,72.46,72.85,72.87,73.07,73.41,74.04
Kotawaringin Timur,69.42,70.17,70.56,71.16,71.31,71.38,71.67,72.21
Kapuas,66.98,68.04,68.68,69.38,69.48,69.63,70.01,70.75
Barito Selatan,69,69.25,69.73,70.1,70.22,70.54,71.01,71.65
Barito Utara,68.28,69.07,69.72,70.52,70.59,70.79,71.21,71.84
Sukamara,66.4,66.98,67.52,67.95,68.03,68.27,68.94,69.44
Lamandau,68.54,69.17,69.7,70.51,70.51,70.58,71.11,71.81
Seruyan,65.4,66.14,67.04,67.57,67.58,67.67,68.24,68.68
Katingan,67.41,67.56,67.91,68.55,68.68,68.89,69.74,70.28
Pulang Pisau,66.49,67,67.54,68.34,68.45,68.53,69.01,69.6
Gunung Mas,69.73,69.95,70.23,70.65,70.81,71.03,71.4,72.09
Barito Timur,70.33,70.57,70.82,71.34,71.39,71.47,72.07,72.7
Murung Raya,66.96,67.16,67.56,67.89,67.98,68.12,68.63,69.42
Kota Palangka Raya,79.21,79.69,80.34,80.77,80.77,80.82,81.16,81.68
KALIMANTAN SELATAN,69.05,69.65,70.17,70.72,70.91,71.28,71.84,72.5
Tanah Laut,67.44,68,68.49,69.04,69.38,69.87,70.35,70.98
Kotabaru,67.1,67.79,68.32,68.95,68.86,69.13,69.74,70.18
Banjar,66.87,67.77,68.32,68.94,69.18,69.89,70.72,71.46
Barito Kuala,64.33,64.93,65.91,66.24,66.22,66.64,67.37,68.11
Tapin,68.05,68.7,69.53,70.13,70.11,70.31,71.02,72
Hulu Sungai Selatan,67.52,67.8,68.41,68.8,68.85,69.21,69.76,70.5
Hulu Sungai Tengah,67.07,67.78,68.32,68.8,68.84,69.05,69.7,70.13
Hulu Sungai Utara,63.38,64.21,65.06,65.49,65.59,66.12,66.84,67.66
Tabalong,70.07,70.76,71.14,71.78,72.19,72.6,73.13,73.85
Tanah Bumbu,68.28,69.12,70.05,70.5,70.71,71,71.79,72.31
Balangan,66.25,67.25,67.88,68.39,68.82,69.11,69.73,70.49
Kota Banjarmasin,75.94,76.46,76.83,77.16,77.1,77.57,77.97,78.5
Kota Banjar Baru,77.96,78.32,78.83,79.22,79.1,79.26,79.68,80.11
KALIMANTAN TIMUR,74.59,75.12,75.83,76.61,76.24,76.88,77.44,78.2
Paser,71,71.16,71.61,72.29,72.04,72.93,73.44,74.14
Kutai Barat,69.99,70.18,70.69,71.63,71.19,72.07,72.92,73.72
Kutai Kartanegara,72.19,72.75,73.15,73.78,73.59,74.06,74.67,75.3
Kutai Timur,71.1,71.91,72.56,73.49,73,73.81,74.35,74.98
Berau,73.05,73.56,74.01,74.88,74.71,75.2,75.74,76.21
Penajam Paser Utara,69.96,70.59,71.13,71.64,71.41,72.01,72.55,73.3
Mahakam Ulu,65.51,66.09,66.67,67.58,67.09,67.95,68.75,69.59
Kota Balikpapan,78.57,79.01,79.81,80.11,80.01,80.71,81.13,81.66
Kota Samarinda,78.91,79.46,79.93,80.2,80.11,80.76,81.43,82.32
Kota Bontang,78.92,79.47,79.86,80.09,80.02,80.59,80.94,81.56
KALIMANTAN UTARA,69.2,69.84,70.56,71.15,70.63,71.19,71.83,72.49
Malinau,70.71,71.23,71.74,72.06,71.94,72.32,72.75,73.19
Bulungan,69.88,70.74,71.23,71.66,71.1,71.8,72.08,72.72
Tana Tidung,65.64,66.26,67.05,67.79,66.97,67.76,68.6,69.2
Nunukan,64.35,65.1,65.67,66.32,65.79,66.46,67.16,67.7
Kota Tarakan,74.88,75.27,75.69,76.09,75.83,76.23,76.68,77.53
SULAWESI UTARA,71.05,71.66,72.2,72.99,72.93,73.3,73.81,74.36
Bolaang Mongondow,65.73,66.08,66.91,67.82,67.89,68.16,68.95,69.62
Minahasa,74.37,74.59,74.97,75.47,75.29,75.73,76.18,76.96
Kepulauan Sangihe,68.52,69.14,69.67,70.53,70.73,71.07,71.63,72.22
Kepulauan Talaud,67.58,67.74,68.32,68.97,69.4,69.83,70.43,71.14
Minahasa Selatan,69.97,70.05,70.86,71.68,72.11,72.32,72.89,73.66
Minahasa Utara,71.49,72.2,73.05,73.95,73.9,74.11,74.69,75.31
Bolaang Mongondow Utara,65.16,65.6,66.32,66.91,66.99,67.39,68.06,68.64
Siau Tagulandang Biaro,65.66,66.03,66.75,67.48,67.64,68.05,68.94,69.57
Minahasa Tenggara,68.42,68.91,69.66,70.47,70.51,71.06,71.48,71.93
Bolaang Mongondow Selatan,63.92,64.05,64.49,65.28,65,65.42,65.9,66.4
Bolaang Mongondow Timur,64.44,64.73,65.21,66.08,65.99,66.55,67.21,67.95
Kota Manado,77.59,78.05,78.41,79.12,78.93,79.2,79.66,80.14
Kota Bitung,72.43,72.94,73.27,74.2,74.1,74.2,74.7,75.11
Kota Tomohon,74.91,75.34,75.78,76.67,76.69,76.86,77.44,78.1
Kota Kotamobagu,71.68,72,72.55,73.22,72.97,73.47,73.96,74.43
SULAWESI TENGAH,67.47,68.11,68.88,69.5,69.55,69.79,70.28,70.95
Banggai Kepulauan,63.45,64.07,64.68,65.13,65.42,65.61,66.08,66.82
Banggai,68.17,69,69.85,70.36,70.52,70.6,71.08,71.7
Morowali,69.69,70.41,71.14,72.02,72.21,72.29,72.55,73.02
Poso,68.83,69.78,70.68,71.4,71.28,71.45,71.93,72.48
Donggala,64.42,64.66,65.14,65.49,65.56,65.72,66.25,66.95
Toli-Toli,63.27,64.05,64.6,65.42,65.69,66.3,66.76,67.66
Buol,66.37,66.69,67.3,67.69,67.82,68.25,68.72,69.57
Parigi Moutong,63.6,64.09,64.85,65.47,65.44,65.82,66.26,67.11
Tojo Una-Una,62.27,62.61,63.38,64.52,64.59,64.74,65.54,66.39
Sigi,65.95,66.72,67.66,68.16,68.12,68.49,69.05,69.93
Banggai Laut,63.49,64.08,64.8,65.27,65.43,65.65,66.22,66.93
Morowali Utara,66.57,67.35,67.95,68.45,68.36,68.48,68.97,69.73
Kota Palu,79.73,80.24,80.91,81.5,81.47,81.7,82.02,82.52
SULAWESI SELATAN,69.76,70.34,70.9,71.66,71.93,72.24,72.82,73.46
Kepulauan Selayar,64.95,65.39,66.04,66.91,67.38,67.76,68.35,69.2
Bulukumba,66.46,67.08,67.7,68.28,68.99,69.62,70.34,71.21
Bantaeng,66.59,67.27,67.76,68.3,68.73,68.99,69.69,70.57
Jeneponto,61.81,62.67,63.33,64,64.26,64.56,65.13,65.9
Takalar,64.96,65.48,66.07,66.94,67.31,67.72,68.31,68.9
Gowa,67.7,68.33,68.87,69.66,70.14,70.29,70.99,71.57
Sinjai,65.36,65.8,66.24,67.05,67.6,67.75,68.33,68.92
Maros,67.76,68.42,68.94,69.5,69.86,70.41,71,71.63
Pangkajene dan Kepulauan,66.86,67.25,67.71,68.29,68.72,69.21,69.79,70.59
Barru,69.07,69.56,70.05,70.6,71,71.13,71.53,72.36
Bone,63.86,64.16,65.04,65.67,66.06,66.4,67.01,67.81
Soppeng,65.95,66.67,67.6,68.26,68.67,68.99,69.7,70.58
Wajo,67.52,68.18,68.57,69.05,69.15,69.62,70.26,71.1
Sidenreng Rappang,69.39,69.84,70.6,71.05,71.21,71.54,72.06,72.71
Pinrang,69.42,69.9,70.62,71.12,71.26,71.45,71.97,72.84
Enrekang,70.79,71.44,72.15,72.66,72.76,72.91,73.39,73.89
Luwu,68.71,69.02,69.6,70.39,70.51,70.85,71.36,72.16
Tana Toraja,66.25,66.82,67.66,68.25,68.75,69.49,69.88,70.73
Luwu Utara,67.81,68.35,68.79,69.46,69.57,70.02,70.51,71.34
Luwu Timur,70.95,71.46,72.16,72.8,73.22,73.34,73.92,74.35
Toraja Utara,67.49,67.9,68.49,69.23,69.33,69.75,70.36,71.23
Kota Makasar,80.53,81.13,81.73,82.25,82.25,82.66,83.12,83.52
Kota Parepare,76.48,76.68,77.19,77.62,77.86,78.21,78.54,79.03
Kota Palopo,76.45,76.71,77.3,77.98,78.06,78.38,78.91,79.45
SULAWESI TENGGARA,69.31,69.86,70.61,71.2,71.45,71.66,72.23,72.79
Buton,63.69,64.47,65.08,65.67,65.98,66.32,67.23,68.12
Muna,66.96,67.61,68.47,68.97,69.02,69.17,69.61,70.16
Konawe,69.84,70.24,70.72,71.29,71.35,71.48,72.04,72.77
Kolaka,71.12,71.46,72.07,73.01,73.45,73.56,73.98,74.72
Konawe Selatan,66.97,67.23,67.51,67.88,68.2,68.58,69.36,70.32
Bombana,64.02,64.49,65.04,65.65,66.05,66.25,66.81,67.43
Wakatobi,67.5,67.99,68.52,68.99,69.48,69.87,70.85,71.43
Kolaka Utara,67.6,67.77,68.44,68.91,69.31,69.5,70.39,71.04
Buton Utara,65.95,66.4,67.13,67.68,67.87,68.08,69,69.7
Konawe Utara,67.2,67.71,68.5,69.22,69.86,70.23,71.1,71.71
Kolaka Timur,63.6,64.55,65.53,66.49,67.02,67.76,68.73,69.57
Konawe Kepulauan,62.56,63.44,64.36,65.05,65.41,65.73,66.69,67.32
Muna Barat,62.57,63.43,64.11,64.45,65.08,65.48,66.21,67.13
Buton Tengah,62.56,62.82,63.46,64.06,64.37,64.55,65.29,65.83
Buton Selatan,62.55,63.2,63.47,64.37,64.93,64.99,65.44,66.15
Kota Kendari,81.66,81.83,82.22,82.86,83.53,84.15,84.51,84.85
Kota Baubau,73.99,74.14,74.67,75.21,75.9,76.26,76.67,77.52
GORONTALO,66.29,67.01,67.71,68.49,68.68,69,69.81,70.45
Boalemo,63.42,64.22,64.99,65.53,65.91,66.42,67.27,68.18
Kab Gorontalo,64.22,64.95,65.78,66.69,66.92,67.34,68.28,69.09
Pohuwato,63.17,63.88,64.44,65.27,65.37,65.8,66.53,67.15
Bone Bolango,67.48,68.11,69.06,69.63,69.98,70.25,70.9,71.51
Gorontalo Utara,63.02,63.52,64.06,64.52,64.86,65.21,66.01,66.61
Kota Gorontalo,75.75,76.09,76.53,77.08,77.13,77.41,78.22,78.64
SULAWESI BARAT,63.6,64.3,65.1,65.73,66.11,66.36,66.92,67.55
Majene,64.8,65.4,66.01,66.59,66.91,67.29,67.84,68.62
Polewali Mandar,61.51,62.35,63.14,63.74,63.84,64.23,64.79,65.59
Mamasa,63.51,63.92,64.66,65.32,66.02,66.63,67.21,67.83
Mamuju,65.65,66.32,67.11,67.72,68.15,68.32,68.88,69.61
Mamuju Utara / Pasangkayu,65.17,65.67,66.6,67.27,67.79,68.03,68.61,69.11
Mamuju Tengah,62.89,63.64,64.43,65.1,65.71,66.18,66.89,67.45
MALUKU,67.6,68.19,68.87,69.45,69.49,69.71,70.22,70.94
Maluku Tenggara Barat / Kepulauan Tanimbar,61.12,61.64,62.39,62.86,62.86,62.97,63.45,64.16
Maluku Tenggara,64.2,64.94,65.53,65.85,66.2,66.33,66.88,67.57
Maluku Tengah,69.54,70.09,70.6,71.25,71.25,71.32,71.81,72.45
Buru,66.63,67.61,68.25,68.91,68.95,69.33,69.94,70.56
Kepulauan Aru,61.32,62.13,63.12,63.64,63.71,63.83,64.21,65.01
Seram Bagian Barat,63.76,64.34,65.14,65.49,65.62,65.83,66.67,67.56
Seram Bagian Timur,61.15,62.06,62.98,63.74,64.12,64.3,65.05,65.82
Maluku Barat Daya,59.43,60.16,60.64,61.55,61.9,62.37,63.07,63.93
Buru Selatan,62.19,62.75,63.62,64.42,64.69,64.8,65.37,66.23
Kota Ambon,79.55,79.82,80.24,80.81,80.84,81.23,81.63,82.06
Kota Tual,65.64,66.25,67.21,67.74,67.96,68.16,68.6,69.43
MALUKU UTARA,66.63,67.2,67.76,68.7,68.49,68.76,69.47,70.21
Halmahera Barat,63.83,64.19,64.54,65.34,65.31,65.56,66.2,66.91
Halmahera Tengah,63.05,63.89,64.66,65.55,65.42,65.82,66.49,67.48
Kepulauan Sula,61.25,62.04,62.96,63.64,63.53,63.8,64.7,65.29
Halmahera Selatan,62.17,62.64,63.39,64.11,63.84,64.19,65.06,65.83
Halmahera Utara,66.02,66.52,67.3,67.75,67.5,67.82,68.38,69.05
Halmahera Timur,64.92,65.77,66.2,66.74,66.75,67,67.93,68.82
Pulau Morotai,59.87,60.71,61.39,62.38,62.5,62.9,63.8,64.73
Pulau Taliabu,58.66,59.03,59.67,60.62,60.48,60.73,61.64,62.31
Kota Ternate,77.8,78.48,79.13,80.03,79.82,80.14,80.81,81.35
Kota Tidore Kepulauan,68.37,69.25,69.89,70.83,70.53,70.99,71.55,72.4
PAPUA BARAT,62.21,62.99,63.74,64.7,65.09,65.26,65.89,66.66
Fakfak,65.55,66.09,66.99,67.87,68.36,68.52,69.12,69.72
Kaimana,62.15,62.74,63.67,64.59,65,65.31,66.11,66.72
Teluk Wondama,57.16,58.1,58.86,59.82,60.21,60.33,60.87,61.67
Teluk Bintuni,61.81,62.39,63.13,64,64.55,64.65,65.27,66
Manokwari,70.34,70.67,71.17,71.67,72.01,72.02,72.6,73.21
Sorong Selatan,59.2,60.19,61.01,61.93,62.42,62.46,63.08,63.94
Sorong,62.42,63.42,64.32,65.29,65.74,65.77,66.69,67.49
Raja Ampat,61.95,62.35,62.84,63.66,63.89,63.92,64.65,65.26
Tambrauw,50.35,51.01,51.95,52.9,53.45,53.71,54.63,55.55
Maybrat,56.35,57.23,58.16,59.15,59.52,59.7,60.49,61.29
Manokwari Selatan,57.12,58.08,58.84,59.72,59.84,59.85,60.68,61.55
Pegunungan Arfak,53.89,54.39,55.31,56.15,56.33,56.13,57.01,57.82
Kota Sorong,76.33,76.73,77.35,77.98,78.45,78.49,78.98,79.65
PAPUA,58.05,59.09,60.06,60.84,60.44,60.62,61.39,62.25
Merauke,68.09,68.64,69.38,69.98,70.09,70.49,71.24,72.19
Jayawijaya,54.96,55.99,56.82,57.79,58.03,58.67,59.6,60.5
Jayapura,70.5,70.97,71.25,71.84,71.69,72.03,72.67,73.5
Nabire,66.64,67.11,67.7,68.53,68.83,69.15,69.91,70.84
Kepulauan Yapen,65.55,66.07,67,67.76,67.66,67.72,68.41,69.11
Biak Numfor,71.13,71.56,71.96,72.57,72.19,72.33,72.85,73.46
Paniai,54.34,54.91,55.83,56.58,56.31,56.7,57.14,57.91
Puncak Jaya,45.49,46.57,47.39,48.33,48.37,48.99,49.84,50.81
Mimika,71.64,72.42,73.15,74.13,74.19,74.48,75.08,75.91
Boven Digoel,59.35,60.14,60.83,61.51,61.53,61.62,62.52,63.46
Mappi,56.54,57.1,57.72,58.3,58.15,58.7,59.61,60.57
Asmat,47.31,48.49,49.37,50.37,50.55,51.29,52.22,53.19
Yahukimo,47.13,47.95,48.51,49.25,49.37,49.48,50.25,51.19
Pegunungan Bintang,41.9,43.24,44.22,45.21,45.44,46.28,47.21,48.18
Tolikara,47.11,47.89,48.85,49.68,49.5,49.6,50.51,51.48
Sarmi,61.27,62.31,63,63.45,63.63,63.94,64.86,65.8
Keerom,64.1,64.99,65.75,66.59,66.4,66.49,67.24,68.08
Waropen,63.1,64.08,64.8,65.34,64.94,65.1,65.67,66.46
Supiori,60.59,61.23,61.84,62.3,62.3,62.72,63.65,64.61
Mamberamo Raya,49,50.25,51.24,52.2,51.78,52.18,53.1,54.08
Nduga,26.56,27.87,29.42,30.75,31.55,32.84,34.1,35.19
Lanny Jaya,45.16,46.49,47.34,48,47.86,48.68,49.62,50.56
Mamberamo Tengah,44.15,45.5,46.41,47.23,47.57,48.32,49.25,50.22
Yalimo,44.95,46.19,47.13,48.08,48.34,49.01,49.9,50.87
Puncak,39.96,41.06,41.81,42.7,43.04,43.17,43.87,44.59
Dogiyai,53.32,54.04,54.44,55.41,54.84,55,55.72,56.7
Intan Jaya,44.82,45.68,46.55,47.51,47.79,48.34,49.25,50.19
Deiyai,48.5,49.07,49.55,50.11,49.46,49.96,50.42,51.18
Kota Jayapura,78.56,79.23,79.58,80.16,79.94,80.11,80.61,81.14
INDONESIA,70.18,70.81,71.39,71.92,71.94,72.29,72.91,73.55