Province/Regency/City,,,,,,,,,,,,,,
,2017,2018,2019,2020,2021,2022,,,,,,,,
ACEH,5189466,5281314,5371532,5274871,5333733,5407855,,,,,,,,
SIMEULUE,91372,92393,93228,92865,93762,94876,,,,,,,,
ACEH SINGKIL,11949,121681,124101,126514,128384,130787,,,,,,,,
ACEH SELATAN,231893,235115,238081,232414,23463,237376,,,,,,,,
ACEH TENGGARA,208481,212417,216495,22086,224119,228308,,,,,,,,
ACEH TIMUR,419594,427567,436081,422401,427032,432849,,,,,,,,
ACEH TENGAH,204273,208505,212494,215576,218684,222673,,,,,,,,
ACEH BARAT,201682,205971,210113,198736,200579,202858,,,,,,,,
ACEH BESAR,409109,417302,425216,405535,409527,41449,,,,,,,,
PIDIE,432599,439131,444976,435275,439398,444505,,,,,,,,
BIREUEN,453224,461726,471635,436418,439788,443874,,,,,,,,
ACEH UTARA,602554,611435,619407,602793,608106,61464,,,,,,,,
ACEH BARAT DAYA,145726,148111,150393,150775,152657,155046,,,,,,,,
GAYO LUES,91024,92602,94100,99532,101102,103131,,,,,,,,
ACEH TAMIANG,287007,291112,295011,294356,297522,301492,,,,,,,,
NAGAN RAYA,161329,164483,167294,168392,170591,173393,,,,,,,,
ACEH JAYA,89618,91087,92892,93159,94418,96028,,,,,,,,
BENER MERIAH,142526,145086,148175,161342,164522,16869,,,,,,,,
PIDIE JAYA,154795,158091,161215,158397,160327,162771,,,,,,,,
BANDA ACEH,259913,265111,270321,252899,255029,257635,,,,,,,,
SABANG,33978,34571,34874,41197,42066,43208,,,,,,,,
LANGSA,171574,174318,176811,185971,188878,19263,,,,,,,,
LHOKSEUMAWE,19898,203284,207202,188713,189941,191396,,,,,,,,
SUBULUSSALAM,78725,80215,81417,90751,92671,95199,,,,,,,,
SUMATERA UTARA,14262147,14415391,14562549,14703532,14936148,15115206,,,,,,,,
Nias,14211,14284,143319,143983,147794,149249,,,,,,,,
Mandailing Natal,439505,44349,447287,451028,478062,484874,,,,,,,,
Tapanuli Selatan,278587,280283,281931,283389,303685,307312,,,,,,,,
Tapanuli Tengah,363705,370171,376667,382917,369300,374734,,,,,,,,
Tapanuli Utara,297806,299881,301789,303688,315222,318424,,,,,,,,
Toba Samosir / Toba,181790,182673,183712,184493,208754,212133,,,,,,,,
Labuhan Batu,478593,48648,494178,501596,499982,508024,,,,,,,,
Asahan,718718,724379,729795,735026,777626,787681,,,,,,,,
Simalungun,859228,863693,867922,871678,1003727,1021615,,,,,,,,
Dairi,281876,283203,284304,285481,311665,31546,,,,,,,,
Karo,403207,409675,415878,421997,409077,414429,,,,,,,,
Deli Serdang,2114627,2155625,2195709,2234320,1941374,1953986,,,,,,,,
Langkat,1028309,1035411,1041775,1048100,1034519,1039926,,,,,,,,
Nias Selatan,314395,317207,319902,32252,366163,373674,,,,,,,,
Humbang Hasundutan,186694,18848,190186,191776,199719,202299,,,,,,,,
Pakpak Bharat,47183,48119,48935,49688,53315,54609,,,,,,,,
Samosir,125099,125816,126188,12671,137696,139337,,,,,,,,
Serdang Bedagai,612924,614618,616396,617772,662076,667998,,,,,,,,
Batu Bara,409091,412992,416493,420103,413171,416367,,,,,,,,
Padang Lawas Utara,262895,267771,272713,277423,263551,267275,,,,,,,,
Padang Lawas,269799,275515,281239,286627,263719,267275,,,,,,,,
Labuhan Batu Selatan,326825,332922,338982,344819,316798,320324,,,,,,,,
Labuhan Batu Utara,357691,360926,363816,366603,385869,390954,,,,,,,,
Nias Utara,13609,137002,137967,138800,14879,15078,,,,,,,,
Nias Barat,81279,81663,82154,82425,90585,91346,,,,,,,,
Kota Sibolga,87090,87317,87626,87791,89932,90366,,,,,,,,
Kota Tanjung Balai,171187,173302,175223,177005,17764,179748,,,,,,,,
Kota Pematang Siantar,251513,253500,255317,25711,270768,274056,,,,,,,,
Kota Tebing Tinggi,160686,162581,164402,166100,174969,177785,,,,,,,,
Kota Medan,2247425,2264145,2279894,2295003,2460858,2494512,,,,,,,,
Kota Binjai,270926,273892,276597,279302,295361,300009,,,,,,,,
Kota Padangsidimpuan,216013,218892,221827,224483,227674,231062,,,,,,,,
Kota Gunungsitoli,139281,140927,142426,143776,136707,137583,,,,,,,,
SUMATERA BARAT,5321500,5382100,5441200,5534472,5580232,5640629,,,,,,,,
Kepulauan Mentawai,88700,90400,92000,87623,88389,89401,,,,,,,,
Pesisir Selatan,457300,460700,463900,504418,509618,516518,,,,,,,,
Solok,368700,371100,373400,391497,394237,397829,,,,,,,,
Sijunjung,230100,233800,237400,235045,237313,240317,,,,,,,,
Tanah Datar,346600,347400,348200,371704,373693,376276,,,,,,,,
Padang Pariaman,411000,413300,415600,430626,433018,436129,,,,,,,,
Agam,484300,487900,491300,529138,534202,540905,,,,,,,,
Lima Puluh Kota,376100,379500,382800,383525,385634,388375,,,,,,,,
Pasaman,275700,278500,281200,299851,303103,307425,,,,,,,,
Solok Selatan,165600,168400,171100,182027,184854,188649,,,,,,,,
Dharmasraya,235500,241600,247600,228591,231217,234713,,,,,,,,
Pasaman Barat,427300,435600,443700,431672,436313,442479,,,,,,,,
Kota Padang,92700,939100,950900,909040,913448,919145,,,,,,,,
Kota Solok,68600,69800,71000,73438,74469,75850,,,,,,,,
Kota Sawah Lunto,61400,61900,62500,65138,65687,66413,,,,,,,,
Kota Padang Panjang,52400,53000,53700,56311,56971,57850,,,,,,,,
Kota Bukittinggi,126800,128800,130800,121028,121588,122311,,,,,,,,
Kota Payakumbuh,131800,133700,135600,139576,141184,143325,,,,,,,,
Kota Pariaman,86600,87600,88500,94224,95294,96719,,,,,,,,
RIAU,6657911,6814909,6971745,6394087,6493603,6614384,,,,,,,,
Kuantan Singingi,321216,324413,327316,334943,339894,34585,,,,,,,,
Indragiri Hulu,425897,433934,441789,444548,453241,464076,,,,,,,,
Indragiri Hilir,722234,731396,740598,654909,658025,660747,,,,,,,,
Pelalawan,438788,46078,483622,390046,399264,410988,,,,,,,,
Siak,465414,47767,489996,45794,466683,47755,,,,,,,,
Kampar,832387,851837,871117,841332,857752,87821,,,,,,,,
Rokan Hulu,641208,66641,69212,561385,570952,582679,,,,,,,,
Bengkalis,559081,566228,573003,565569,573504,582973,,,,,,,,
Rokan Hilir,679663,697218,714497,637161,646791,658407,,,,,,,,
Kepulauan Meranti,183297,184372,185516,206116,20946,213532,,,,,,,,
Kota Pekanbaru,1091088,1117359,1143359,983356,994585,1007540,,,,,,,,
Kota Dumai,297638,303292,308812,316782,323452,331832,,,,,,,,
JAMBI,3515017,3570300,3624600,3548200,3585100,3631100,,,,,,,,
Kerinci,236782,237800,238700,250300,251900,253900,,,,,,,,
Merangin,377905,383500,388900,354100,355700,357600,,,,,,,,
Sarolangun,290231,296000,301900,290100,293600,298100,,,,,,,,
Batang Hari,266971,270000,272900,301700,306700,313200,,,,,,,,
Muaro Jambi,421179,432300,443400,402000,406800,412800,,,,,,,,
Tanjung Jabung Timur,216777,218400,220000,229800,231800,234200,,,,,,,,
Tanjung Jabung Barat,322527,328300,333900,317500,320600,324500,,,,,,,,
Tebo,343003,348800,354500,337700,340900,344800,,,,,,,,
Bungo,359590,367200,374800,362400,367200,373300,,,,,,,,
Kota Jambi,591134,598100,604700,606200,612200,619600,,,,,,,,
Kota Sungai Penuh,88918,89900,90900,96600,97800,99200,,,,,,,,
SUMATERA SELATAN,8266983,8391489,8497196,8467432,8550849,8657008,,,,,,,,
Ogan Komering Ulu,359092,36426,368756,367603,371106,375538,,,,,,,,
Ogan Komering Ilir,809203,821528,832151,769348,772742,77669,,,,,,,,
Muara Enim,618762,628661,637556,6129,617846,624019,,,,,,,,
Lahat,401494,405605,409348,430071,434939,441174,,,,,,,,
Musi Rawas,394384,400239,405175,39557,398732,402674,,,,,,,,
Musi Banyuasin,629791,640065,649085,622206,62707,633124,,,,,,,,
Banyu Asin,833625,846269,857097,836914,843871,852576,,,,,,,,
Ogan Komering Ulu Selatan,352926,358510,363004,408981,416616,426687,,,,,,,,
Ogan Komering Ulu Timur,663481,670653,67708,649853,653062,656857,,,,,,,,
Ogan Ilir,419773,424774,429595,416549,419401,422907,,,,,,,,
Empat Lawang,244312,247544,250465,333622,343839,357673,,,,,,,,
Penukal Abab Lematang Ilir,184671,187554,190062,194900,197290,200368,,,,,,,,
Musi Rawas Utara,187635,190222,192540,188861,190420,192369,,,,,,,,
Kota Palembang,1623099,1651857,1674243,1668848,1686073,1707996,,,,,,,,
Kota Prabumulih,182128,185895,188669,193196,195748,199047,,,,,,,,
Kota Pagar Alam,136605,137964,139192,143844,145266,147071,,,,,,,,
Kota Lubuklinggau,226002,229889,233178,234166,236828,240238,,,,,,,,
BENGKULU,1975815,1999539,2001578,2010670,2037019,2060100,,,,,,,,
Bengkulu Selatan,165724,167997,168936,166250,170559,170090,,,,,,,,
Rejang Lebong,276875,278865,279436,276650,281748,281280,,,,,,,,
Bengkulu Utara,280893,284505,285852,296520,293465,302830,,,,,,,,
Kaur,127528,129843,130266,126550,131606,129660,,,,,,,,
Seluma,209257,211619,212367,207880,213662,213760,,,,,,,,
Mukomuko,176185,180951,182338,190500,190936,196570,,,,,,,,
Lebong,113961,112900,107119,106290,108856,107250,,,,,,,,
Kepahiang,148795,151019,151682,149740,152932,154000,,,,,,,,
Bengkulu Tengah,110162,113056,114043,116710,118561,119810,,,,,,,,
Kota Bengkulu,366435,368784,369539,373590,374694,384840,,,,,,,,
LAMPUNG,8289577,8370485,8447737,9007848,9081792,9176546,,,,,,,,
Lampung Barat,298286,300703,302828,302139,302749,303397,,,,,,,,
Tanggamus,586624,592603,598299,640275,645807,652898,,,,,,,,
Lampung Selatan,992763,1002285,1011286,1064301,1071727,1081115,,,,,,,,
Lampung Timur,1027476,1036193,1044320,1110340,1118115,1127946,,,,,,,,
Lampung Tengah,1261498,1271566,1281310,1460045,1477395,1500022,,,,,,,,
Lampung Utara,612100,614701,616897,633099,634117,635129,,,,,,,,
Way Kanan,441922,446113,450109,473575,476871,481036,,,,,,,,
Tulangbawang,440511,445797,450902,430021,430630,431208,,,,,,,,
Pesawaran,435827,440192,444380,477468,481708,487153,,,,,,,,
Pringsewu,393901,397219,400187,405466,406823,408415,,,,,,,,
Mesuji,198092,199168,200198,227518,229772,232685,,,,,,,,
Tulang Bawang Barat,269162,271206,273215,286162,287707,289620,,,,,,,,
Pesisir Barat,152529,153743,154895,162697,163641,164816,,,,,,,,
Kota Bandar Lampung,1015910,1033803,1051500,1166066,1184949,1209937,,,,,,,,
Kota Metro,162976,165193,167411,168676,169781,171169,,,,,,,,
KEP BANGKA BELITUNG,1430865,1459873,1488792,1455678,1473165,1494621,,,,,,,,
Bangka,324305,330793,337337,326265,329911,334344,,,,,,,,
Belitung,182418,186155,189824,182079,184004,186331,,,,,,,,
Bangka Barat,204778,209011,213163,204612,206786,209413,,,,,,,,
Bangka Tengah,188603,192429,196196,198946,201861,205510,,,,,,,,
Bangka Selatan,201782,205901,209973,198189,200051,202263,,,,,,,,
Belitung Timur,124587,127064,129572,127018,128564,130463,,,,,,,,
Kota Pangkal Pinang,204392,208520,212727,218569,221988,226297,,,,,,,,
KEPULAUAN RIAU,2878407,29559031,2189650,2064564,2082785,2179820,,,,,,,,
Karimun,235404,237265,232800,253457,260620,266177,,,,,,,,
Bintan,158058,159375,159400,159518,168754,165781,,,,,,,,
Natuna,75968,77967,77770,81495,82656,85446,,,,,,,,
Lingga,86222,88433,89780,98633,101994,102853,,,,,,,,
Kepulauan Anambas,44519,45146,42310,47402,47916,50296,,,,,,,,
Kota Batam,1433101,1482768,1376010,1196396,1193088,1269413,,,,,,,,
Kota Tanjung Pinang,217736,220142,211580,227663,227757,239854,,,,,,,,
DKI JAKARTA,10374235,10467629,10557810,10562088,10609681,10679951,,,,,,,,
Kep Seribu,23897,24134,24295,27749,28240,28925,,,,,,,,
Kota Jakarta Selatan,2226830,2246137,2264699,2226812,2233855,2244623,,,,,,,,
Kota Jakarta Timur,2892783,2916018,2937859,3037139,3056300,3083883,,,,,,,,
Kota Jakarta Pusat,921344,924686,928109,1056896,1066460,1079995,,,,,,,,
Kota Jakarta Barat,2528065,2559362,2589933,2434511,2440073,2448975,,,,,,,,
Kota Jakarta Utara,1781316,1797292,1812915,1778981,1784753,1793550,,,,,,,,
JAWA BARAT,48037827,48475500,49023200,48274200,48782400,49405800,,,,,,,,
Bogor,5715009,5840907,5965410,6088233,5327131,5473476,,,,,,,,
Sukabumi,2453498,2460693,2466272,2470219,353631,2708966,,,,,,,,
Cianjur,2256589,2260620,2263072,2264328,2437838,2506384,,,,,,,,
Bandung,3657601,3717291,3775279,3831505,2527854,3708344,,,,,,,,
Garut,2588839,2606399,2622425,2636637,2628725,2759490,,,,,,,,
Tasikmalaya,1747318,1751295,1754128,1755710,731606,1939683,,,,,,,,
Ciamis,1181981,1188629,1195176,1201685,1263198,1267878,,,,,,,,
Kuningan,1068201,1074497,1080804,1087105,1198814,1218332,,,,,,,,
Cirebon,2159577,2176213,2192903,2209633,2365048,2411302,,,,,,,,
Majalengka,1193725,1199300,1205034,1210709,1323854,1340016,,,,,,,,
Sumedang,1146435,1149906,1152400,1154428,1165047,1187620,,,,,,,,
Indramayu,1709994,1719187,1728469,1737624,1885172,1912850,,,,,,,,
Subang,1562509,1579018,1595825,1612576,1596179,1618380,,,,,,,,
Purwakarta,943337,953414,962893,971889,1001338,1020994,,,,,,,,
Karawang,2316489,2336009,2353915,2370488,2406895,2509839,,,,,,,,
Bekasi,3500023,3630907,3763886,3899017,3022787,3147268,,,,,,,,
Bandung Barat,1666510,1683711,1699896,1714982,1780767,3708344,,,,,,,,
Pangandaran,395098,397187,399284,401493,432599,436748,,,,,,,,
Kota Bogor,1081009,1096828,1112081,1126927,1091396,1114018,,,,,,,,
Kota Sukabumi,323788,326282,328680,330691,353631,358854,,,,,,,,
Kota Bandung,2497938,2503708,2507888,2510103,2527854,2545005,,,,,,,,
Kota Cirebon,313325,316277,319312,322322,343667,346438,,,,,,,,
Kota Bekasi,2859630,2931897,3003923,3075690,2468448,2486251,,,,,,,,
Kota Depok,2254513,2330333,2406826,2484186,1893321,1920182,,,,,,,,
Kota Cimahi,601099,607811,614304,620393,560746,566537,,,,,,,,
Kota Tasikmalaya,661404,662723,663517,663986,731606,746710,,,,,,,,
Kota Banjar,182388,182819,183110,183299,205732,207625,,,,,,,,
JAWA TENGAH,34257865,34490835,34718204,36516035,36742501,37032410,,,,,,,,
Cilacap,1711627,1719504,1727098,1944857,1963824,1988622,,,,,,,,
Banyumas,1665025,1679124,1693006,1776918,1789630,1806013,,,,,,,,
Purbalingga,916427,925193,933989,998561,1007794,1019840,,,,,,,,
Banjarnegara,912917,918219,923192,1017767,1026866,1038718,,,,,,,,
Kebumen,1192007,1195092,1197982,1350438,1361913,1376825,,,,,,,,
Purworejo,714574,716477,718316,769880,773588,778257,,,,,,,,
Wonosobo,784207,787384,790504,879124,886613,896346,,,,,,,,
Magelang,1268396,1279625,1290591,1299859,1305512,1312573,,,,,,,,
Boyolali,974579,979799,984807,1062713,1070247,1079952,,,,,,,,
Klaten,1167401,1171411,1174986,1260506,1267272,1275850,,,,,,,,
Sukoharjo,878374,885205,891912,907587,911603,916627,,,,,,,,
Wonogiri,954706,957106,959492,1043177,1049292,1057087,,,,,,,,
Karanganyar,871596,879078,886519,931963,938808,947642,,,,,,,,
Sragen,885122,887889,890518,976951,983641,992243,,,,,,,,
Grobogan,1365207,1371610,1377788,1453526,1460873,1470150,,,,,,,,
Blora,858865,862110,865013,884333,886147,888224,,,,,,,,
Rembang,628922,633584,638188,645333,647766,650770,,,,,,,,
Pati,1246691,1253299,1259590,1324188,1330983,1339572,,,,,,,,
Kudus,851478,861430,871311,849184,852443,856472,,,,,,,,
Jepara,1223198,1240600,1257912,1184947,1188510,1192811,,,,,,,,
Demak,1140675,1151796,1162805,1203956,1212377,1223217,,,,,,,,
Semarang,1027489,1040629,1053786,1053094,1059844,1068492,,,,,,,,
Temanggung,759128,765594,772018,790174,794403,799764,,,,,,,,
Kendal,957024,964106,971086,1018505,1025020,1033367,,,,,,,,
Batang,756079,762377,768583,801718,807005,813791,,,,,,,,
Pekalongan,886197,891892,897711,968821,976504,986455,,,,,,,,
Pemalang,1296281,1299724,1302813,1471489,1484209,1500754,,,,,,,,
Tegal,1433515,1437225,1440698,1596996,1608611,1623595,,,,,,,,
Brebes,1796004,1802829,1809096,1978759,1992685,2010617,,,,,,,,
Kota Magelang,121474,121872,122111,121526,121610,121675,,,,,,,,
Kota Surakarta,516102,517887,519587,522364,522728,523008,,,,,,,,
Kota Salatiga,188928,191571,194084,192322,193525,195065,,,,,,,,
Kota Semarang,1757686,1786114,1814110,1653524,1656564,1659975,,,,,,,,
Kota Pekalongan,301870,304477,307097,307150,308310,309742,,,,,,,,
Kota Tegal,248094,249003,249905,273825,275781,278299,,,,,,,,
D I YOGYAKARTA,3762167,3818266,3842932,3668719,3712896,3761870,,,,,,,,
Kulon Progo,421295,426767,430220,436395,443283,451342,,,,,,,,
Bantul,995264,1009171,1018402,98577,998647,1013170,,,,,,,,
Gunung Kidul,729364,740 181	,742731,747161,758168,770883,,,,,,,,
Sleman,1192512,1 214 346	,1219640,1125804,1136474,1147562,,,,,,,,
Kota Yogyakarta,422732,427 801	,431939,373589,376324,378913,,,,,,,,
JAWA TIMUR,39292971,39500851,39698631,40665696,40878789,41149974,,,,,,,,
Pacitan,553388,554394,555304,586110,589108,592916,,,,,,,,
Ponorogo,869894,870705,871370,949318,955839,964253,,,,,,,,
Trenggalek,693104,694902,696295,731125,734888,739669,,,,,,,,
Tulungagung,1030790,1035290,1039284,1089775,1096588,1105337,,,,,,,,
Blitar,1153803,1157500,1160677,1223745,1231013,1240322,,,,,,,,
Kediri,1561392,1568113,1574272,1635294,1644400,1656020,,,,,,,,
Malang,2576596,2591795,2606204,2654448,2668296,2685900,,,,,,,,
Lumajang,1036823,1039794,1042395,1119251,1127094,1137227,,,,,,,,
Jember,2430185,2440714,2450668,2536729,2550360,2567718,,,,,,,,
Banyuwangi,1604897,1609677,1613991,1708114,1718462,1731731,,,,,,,,
Bondowoso,768912,772297,775715,776151,778525,781417,,,,,,,,
Situbondo,676703,679993,682978,685967,688337,691260,,,,,,,,
Probolinggo,1155214,1162092,1168503,1152537,1155894,1159965,,,,,,,,
Pasuruan,1605307,1616578,1627396,1605969,1611805,1619035,,,,,,,,
Sidoarjo,2183682,2216804,2249476,2082801,2091930,2103401,,,,,,,,
Mojokerto,1099504,1108718,1117688,1119209,1125522,1133584,,,,,,,,
Jombang,1253078,1258618,1263814,1318062,1325914,1335972,,,,,,,,
Nganjuk,1048799,1051900,1054611,1103902,1109683,1117033,,,,,,,,
Madiun,679888,681394,682684,744350,750143,757665,,,,,,,,
Magetan,628609,628924,628977,670812,674133,678343,,,,,,,,
Ngawi,829899,830090,830108,870057,873346,877432,,,,,,,,
Bojonegoro,1243906,1246927,1249692,1301635,1307602,1315125,,,,,,,,
Tuban,1163614,1168277,1172790,1198012,1203127,1209543,,,,,,,,
Lamongan,1188478,1188913,1189106,1344165,1356027,1371509,,,,,,,,
Gresik,1285018,1299024,1312881,1311215,1320570,1332664,,,,,,,,
Bangkalan,970894,978892,986672,1060377,1071712,1086620,,,,,,,,
Sampang,958082,968520,978875,969694,976020,984162,,,,,,,,
Pamekasan,863004,871497,879992,850057,853507,857818,,,,,,,,
Sumenep,1081204,1085227,1088910,1124436,1129822,1136632,,,,,,,,
Kota Kediri,284002,285582,287409,286796,287962,289418,,,,,,,,
Kota Blitar,139995,140971,141876,149149,150371,151960,,,,,,,,
Kota Malang,861414,866118,870682,843810,844933,846126,,,,,,,,
